Stock Index,Stock Price
AC3235,818.027
AC3236,309.1455
AC3237,1557.854
AC3238,828.0934
AC3239,298.19025
AC3240,447.96136
AC3241,726.0318
AC3242,870.7903
AC3243,892.9746
AC3244,1389.012
AC3245,338.1824
AC3246,397.41254
AC3247,745.7325
AC3248,146.86699
AC3249,120.228714
AC3250,201.27934
AC3251,1820.3728
AC3252,146.3896
AC3253,282.00186
AC3254,185.23634
AC3255,989.81006
AC3256,868.879
AC3257,1546.0587
AC3258,491.50735
AC3259,253.65486
AC3260,278.26578
AC3261,107.15056
AC3262,234.20381
AC3263,399.38943
AC3264,120.555405
AC3265,1163.6035
AC3266,876.64233
AC3267,515.4142
AC3268,772.2097
AC3269,414.85645
AC3270,824.3021
AC3271,99.079025
AC3272,113.30492
AC3273,248.21257
AC3274,190.35832
AC3275,138.44597
AC3276,202.94621
AC3277,284.007
AC3278,277.13293
AC3279,61.12593
AC3280,116.15495
AC3281,892.30566
AC3282,127.39656
AC3283,794.5149
AC3284,717.60675
AC3285,96.303665
AC3286,882.21356
AC3287,197.0764
AC3288,288.96707
AC3289,171.77486
AC3290,194.86134
AC3291,217.56557
AC3292,93.883224
AC3293,521.83453
AC3294,175.90309
AC3295,569.0992
AC3296,92.9218
AC3297,606.2519
AC3298,795.6871
AC3299,116.01933
AC3300,83.578415
AC3301,780.88824
AC3302,129.13728
AC3303,1233.7778
AC3304,33.45262
AC3305,242.23094
AC3306,181.99367
AC3307,32.968918
AC3308,120.87068
AC3309,239.46724
AC3310,803.0629
AC3311,1084.5026
AC3312,863.65454
AC3313,23.044237
AC3314,84.25981
AC3315,126.55769
AC3316,409.0994
AC3317,968.4148
AC3318,554.1284
AC3319,1194.9624
AC3320,-28.10243
AC3321,105.129715
AC3322,72.42763
AC3323,892.70447
AC3324,86.159225
AC3325,248.54497
AC3326,376.95413
AC3327,85.56389
AC3328,103.43742
AC3329,667.0602
AC3330,909.3357
AC3331,252.87587
AC3332,788.64465
AC3333,1395.2664
AC3334,353.8407
AC3335,620.8497
AC3336,158.1458
AC3337,626.53705
AC3338,1745.1138
AC3339,803.6931
AC3340,82.742935
AC3341,1234.2745
AC3342,1191.8451
AC3343,298.8664
AC3344,105.7263
AC3345,198.30757
AC3346,95.75789
AC3347,293.60452
AC3348,666.4117
AC3349,494.8066
AC3350,112.3062
AC3351,790.6065
AC3352,62.17476
AC3353,421.53943
AC3354,280.6157
AC3355,632.564
AC3356,246.74428
